"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 12 20:00:41 CST 2024","Sat Oct 12 20:00:46 CST 2024","4953","chromium","example.spec.ts","","","","has title",""
"passed","Sat Oct 12 20:00:46 CST 2024","Sat Oct 12 20:00:50 CST 2024","3839","chromium","example.spec.ts","","","","get started link",""
